Name,Cap Rate,Vacancy Rate,Home Value to Rent Ratio,Rent as % of Income,Shadow Inventory %,Migration Total,Housing Unit Growth Rate,Building Permits,Vote Republican %,Vote Democrat %,Rental Rate,Rent For Houses,Home Value Growth (MoM),For Sale Inventory,Sale Inventory Growth (YoY),Inventory Surplus/Deficit,Price Cut %,Days on Market,Days on Market Growth (YoY),Inventory as % of Houses,Median Listing Price,Median Listing Price (YoY),New Listing Count,New Listing Count (YoY),Sale Inventory Growth (MoM),Population,Median Household Income,Population Growth,Income Growth,Remote Work %,Home Value,Home Value Growth (YoY),Home Value Growth (5-Year),Overvalued %,Value / Income Ratio,Mortgage Payment,Salary to Afford a House,Mtg Payment as % of Income,Property Tax Rate,Buy v Rent Differential,% Change from June 2022,% Crash from 2007-12,College Degree Rate,Homeownership Rate,Mortgaged Home %,Median Age,Poverty Rate,Housing Units,Migration % of Population,Rent Growth (YoY),Home Price Forecast,Investor Forecast,Long-Term Growth
"Albuquerque, NM",5.0%,6.1%,14.1,27.3%,1.3%,"2,153",3.3%,"3,006",41.6%,55.9%,"$1,570","$1,962",0.34%,"1,532",29.2%,0.1%,21.8%,77,4.7%,0.5%,"$395,731",-3.4%,822,17.4%,-7.7%,"921,953","$68,992",0.6%,17.9%,12.6%,"$333,568",3.6%,60.2%,23.5%,4.8,"$2,173","$86,939",37.8%,0.7%,38.4%,9.8%,-14.7%,35.6%,68.2%,60%,40.0,13.5%,"404,994",0.2%,2.6%,49,49,35.0
"Alexandria, LA",8.0%,15.4%,9.6,23.7%,2.1%,-864,0.4%,309,70.6%,28.0%,"$1,059","$1,324",1.34%,352,-2.6%,2.3%,15.7%,93,14.1%,0.9%,"$231,225",0.7%,100,19.0%,-2.6%,"148,383","$53,437",-2.9%,5.7%,4.5%,"$154,066",1.2%,10.5%,-0.5%,2.8,$963,"$38,534",21.6%,0.4%,-9.0%,-0.1%,8.8%,21.1%,62.6%,48%,38.5,18.9%,"67,964",-0.5%,2.7%,46,42,45.0
"Allentown, PA",4.9%,5.1%,12.7,25.1%,2.2%,"3,514",3.8%,"1,819",51.8%,46.9%,"$1,734","$2,168",0.32%,"1,033",18.3%,-32.8%,16.1%,58,12.6%,0.4%,"$372,450",0.7%,542,-5.5%,-13.1%,"873,555","$82,782",3.6%,16.9%,12.1%,"$331,972",5.5%,55.5%,16.0%,4.0,"$2,363","$94,540",34.2%,1.5%,36.2%,12.9%,-19.3%,33.3%,69.6%,60%,41.7,10.2%,"363,967",0.4%,5.1%,58,54,51.0
"Altoona, PA",6.3%,9.4%,11.1,21.5%,0.8%,100,-1.7%,78,71.3%,27.9%,$987,"$1,234",0.97%,226,23.1%,-2.3%,28.2%,71,-8.3%,0.6%,"$134,000",3.1%,60,-9.0%,-7.5%,"120,273","$55,082",-1.8%,7.9%,6.3%,"$165,759",3.1%,14.9%,2.7%,3.0,"$1,113","$44,541",24.2%,1.0%,12.7%,3.4%,-10.8%,22.3%,71.6%,51%,43.7,14.0%,"55,954",0.0%,9.4%,49,38,46.0
"Altus, OK",11.0%,18.8%,7.1,19.5%,3.7%,-69,-0.7%,-,78.1%,19.8%,"$1,019","$1,274",-0.17%,88,52.1%,0.5%,16.1%,68,-5.8%,1.4%,"$204,300",-2.7%,32,23.0%,-9.3%,"24,730","$62,726",-2.5%,26.2%,5.1%,"$108,895",5.1%,38.9%,4.0%,1.7,$695,"$27,821",13.3%,0.6%,-31.7%,7.6%,4.8%,24.1%,61.2%,51%,35.0,14.2%,"12,046",-0.2%,-,50,-,52.0
"Amarillo, TX",6.5%,11.7%,10.5,23.7%,1.5%,983,5.9%,640,77.7%,21.2%,"$1,293","$1,616",0.16%,986,13.0%,27.4%,22.8%,68,10.5%,1.4%,"$297,355",-5.4%,284,-3.4%,-4.6%,"272,684","$65,273",2.5%,21.9%,5.6%,"$203,685",2.0%,41.9%,17.9%,3.1,"$1,429","$57,198",26.2%,1.3%,10.5%,5.9%,-,26.5%,65.0%,51%,36.3,10.6%,"116,348",0.3%,3.0%,41,53,52.0
"Ames, IA",4.4%,8.2%,14.2,18.4%,0.8%,170,2.8%,255,47.5%,50.3%,"$1,129","$1,411",0.54%,200,6.6%,-14.1%,11.6%,76,-2.5%,0.6%,"$319,000",0.2%,88,2.3%,-14.1%,"125,235","$73,447",0.5%,18.1%,10.6%,"$241,658",2.2%,30.8%,6.0%,3.2,"$1,681","$67,266",27.4%,1.3%,48.8%,6.5%,-,48.2%,62.0%,56%,30.5,12.3%,"54,171",0.1%,4.2%,52,45,58.0
"Amsterdam, NY",4.9%,16.1%,11.0,21.7%,2.9%,138,-2.3%,-,64.7%,35.2%,"$1,161","$1,451",0.22%,85,14.9%,-25.1%,12.0%,73,-13.1%,0.6%,"$219,900",21.1%,24,-14.2%,-1.1%,"49,461","$64,181",0.0%,29.7%,7.8%,"$192,530",6.9%,57.2%,19.4%,2.9,"$1,539","$61,577",28.7%,2.5%,32.5%,13.7%,-6.8%,20.5%,69.3%,50%,40.1,13.8%,"22,944",0.2%,-,57,-,50.0
"Ann Arbor, MI",6.6%,6.7%,10.1,35.7%,2.0%,"-1,568",5.6%,"1,105",26.5%,70.9%,"$2,544","$3,180",0.41%,402,17.0%,-22.6%,8.6%,54,-21.7%,0.4%,"$459,495",-9.1%,222,16.8%,-8.2%,"365,536","$85,429",-1.4%,11.5%,19.1%,"$388,501",4.2%,29.4%,18.5%,4.5,"$2,762","$110,500",38.8%,1.5%,8.5%,7.2%,-25.7%,60.2%,62.5%,61%,35.5,14.1%,"160,127",-0.4%,5.2%,55,53,44.0
"Anniston, AL",7.2%,13.5%,10.7,22.2%,1.2%,952,-0.6%,67,71.7%,27.1%,$961,"$1,202",0.45%,282,32.0%,-3.5%,18.7%,85,7.6%,0.8%,"$219,900",9.2%,100,25.0%,-2.7%,"116,429","$51,795",1.8%,7.5%,4.2%,"$155,261",3.0%,27.2%,8.5%,2.9,$964,"$38,596",22.3%,0.4%,0.3%,3.6%,-,23.6%,68.7%,50%,40.5,19.3%,"53,543",0.8%,5.6%,50,47,51.0
"Appleton, WI",3.6%,4.0%,16.6,17.4%,1.2%,879,5.1%,565,55.4%,43.0%,"$1,246","$1,558",0.77%,283,2.3%,-11.0%,10.4%,70,2.9%,0.3%,"$406,900",2.6%,166,18.5%,-10.4%,"245,860","$85,645",3.6%,25.3%,10.6%,"$311,164",6.3%,52.7%,23.9%,3.6,"$2,163","$86,547",30.3%,1.3%,73.5%,17.2%,-11.2%,31.6%,73.0%,60%,40.3,4.8%,"103,133",0.3%,5.8%,53,42,55.0
"Ardmore, OK",6.2%,14.0%,11.8,19.9%,2.3%,556,0.4%,-,77.7%,20.9%,$998,"$1,247",0.08%,196,18.4%,16.4%,16.0%,96,23.4%,1.4%,"$245,000",12.0%,36,-30.7%,-7.7%,"58,451","$60,033",0.1%,17.2%,4.2%,"$177,378",2.3%,54.3%,25.2%,2.9,"$1,153","$46,138",23.0%,0.7%,15.5%,8.6%,4.9%,20.0%,67.6%,47%,38.3,14.0%,"26,343",0.9%,-,43,-,49.0
"Asheville, NC",4.9%,20.9%,15.3,32.2%,8.2%,"5,103",5.0%,"4,789",46.1%,52.1%,"$1,859","$2,324",0.18%,"1,263",36.5%,1.8%,19.5%,81,-2.4%,1.0%,"$566,625",0.2%,398,9.9%,-6.5%,"479,203","$69,193",4.7%,20.4%,16.3%,"$427,573",3.2%,56.3%,27.2%,6.1,"$2,682","$107,299",46.5%,0.4%,44.2%,8.4%,-8.8%,44.7%,69.4%,54%,43.9,11.9%,"242,551",1.0%,2.7%,48,60,46.0
"Ashland, OH",4.2%,8.2%,15.8,17.1%,2.0%,289,1.2%,-,74.4%,24.5%,$946,"$1,182",0.59%,51,55.3%,-18.8%,19.4%,56,-4.7%,0.3%,"$284,700",0.0%,34,70.0%,-22.3%,"52,296","$66,290",-2.2%,25.4%,6.2%,"$225,044",7.6%,58.2%,29.2%,3.3,"$1,509","$60,366",27.3%,1.0%,59.5%,15.2%,-,22.0%,78.8%,57%,41.4,12.7%,"22,517",0.5%,-,55,-,44.0
"Astoria, OR",2.8%,22.1%,23.2,24.9%,28.1%,-307,4.2%,-,42.5%,53.8%,"$1,454","$1,817",0.00%,182,20.9%,3.7%,22.3%,107,-0.6%,1.1%,"$579,499",-2.8%,38,-17.3%,-6.4%,"41,343","$70,079",7.2%,27.6%,11.7%,"$506,586",0.5%,51.4%,20.1%,7.2,"$3,265","$130,629",55.9%,0.7%,124.5%,-0.7%,-21.5%,26.2%,61.6%,61%,45.2,11.8%,"23,251",-0.7%,7.3%,46,38,47.0
"Athens, GA",6.3%,7.7%,11.7,34.1%,2.0%,"1,285",9.3%,"1,099",50.7%,48.3%,"$1,955","$2,444",0.33%,530,23.8%,20.7%,19.1%,80,34.4%,1.0%,"$458,488",3.7%,200,6.3%,-4.5%,"218,856","$68,711",5.2%,34.8%,12.3%,"$345,100",4.0%,63.1%,18.3%,5.0,"$2,237","$89,508",39.0%,0.7%,14.4%,10.6%,-20.0%,46.7%,56.0%,58%,32.8,17.9%,"93,641",0.5%,4.0%,45,73,49.0
"Athens, OH",6.8%,14.1%,10.3,24.0%,4.4%,"1,960",-0.8%,-,44.1%,54.8%,"$1,100","$1,375",0.53%,65,10.2%,-33.5%,14.1%,72,-11.6%,0.4%,"$221,161",-2.0%,28,-6.6%,-3.7%,"61,573","$54,913",-6.4%,31.2%,11.7%,"$170,867",6.9%,33.3%,1.2%,3.1,"$1,172","$46,910",25.6%,1.2%,6.5%,6.6%,-,35.4%,61.9%,46%,32.8,19.0%,"26,466",3.1%,19.9%,57,39,44.0
"Athens, TN",5.9%,10.6%,13.2,27.1%,4.1%,"1,238",2.6%,-,81.7%,17.4%,"$1,194","$1,492",-0.08%,241,30.9%,35.3%,25.2%,90,7.8%,1.1%,"$322,225",-4.7%,62,0.0%,-3.4%,"54,135","$52,846",2.5%,22.0%,5.5%,"$238,137",3.5%,50.3%,33.4%,4.5,"$1,461","$58,447",33.1%,0.3%,22.3%,10.1%,-,15.1%,79.4%,48%,42.8,13.6%,"24,027",2.2%,4.9%,42,45,46.0
"Athens, TX",5.6%,20.3%,12.6,27.6%,14.5%,"2,055",2.7%,-,81.4%,17.9%,"$1,396","$1,745",-0.14%,715,7.8%,49.9%,19.8%,99,12.8%,2.2%,"$337,350",4.2%,140,-11.3%,-5.5%,"86,158","$60,578",4.6%,17.5%,8.3%,"$264,526",0.5%,45.2%,15.9%,4.3,"$1,754","$70,174",34.7%,0.9%,25.6%,-2.7%,-,20.9%,78.4%,38%,45.2,16.9%,"42,610",2.3%,2.1%,37,59,53.0
"Atlanta, GA",5.3%,7.7%,13.4,25.5%,1.0%,"42,870",8.5%,"39,565",42.5%,56.4%,"$1,876","$2,345",-0.22%,"21,294",38.1%,20.4%,23.9%,66,18.0%,1.3%,"$399,000",-2.6%,"8,024",13.2%,-6.3%,"6,280,701","$88,235",5.6%,22.9%,19.0%,"$377,671",0.9%,56.5%,31.1%,4.2,"$2,460","$98,426",33.4%,0.7%,31.1%,2.8%,-34.7%,42.6%,67.0%,69%,37.6,10.3%,"2,528,102",0.6%,1.9%,43,59,53.0
"Atlantic City, NJ",5.0%,15.9%,12.2,28.7%,35.9%,43,2.9%,837,50.9%,47.1%,"$1,955","$2,444",0.34%,"1,647",8.2%,-37.3%,11.4%,78,4.7%,0.9%,"$549,475",-4.4%,578,-2.0%,-6.2%,"275,213","$81,674",3.6%,28.8%,10.2%,"$359,531",7.6%,74.2%,14.5%,4.4,"$2,616","$104,650",38.4%,1.7%,33.7%,19.9%,-32.0%,35.4%,72.0%,62%,45.1,10.4%,"132,179",0.0%,2.9%,59,64,52.0
"Auburn, AL",5.7%,8.6%,13.4,31.4%,4.1%,"1,932",16.3%,"1,523",62.9%,35.2%,"$1,537","$1,921",0.29%,712,11.2%,15.0%,23.1%,64,-16.9%,1.2%,"$389,934",0.4%,274,4.5%,0.9%,"183,215","$58,731",11.7%,9.3%,8.2%,"$310,509",3.7%,41.3%,21.5%,5.2,"$1,937","$77,519",39.5%,0.4%,26.0%,10.3%,-12.3%,39.6%,64.1%,58%,33.9,17.7%,"81,890",1.0%,6.3%,45,57,45.0
"Auburn, IN",5.0%,6.9%,14.6,17.4%,1.4%,316,2.0%,-,72.6%,25.5%,"$1,041","$1,301",0.79%,59,-13.8%,-6.1%,24.4%,54,-10.0%,0.4%,"$319,900",10.4%,30,-28.5%,-7.0%,"43,584","$71,481",2.0%,26.6%,4.4%,"$228,803",6.6%,51.2%,22.7%,3.2,"$1,460","$58,415",24.5%,0.6%,40.2%,13.4%,-,20.1%,82.2%,65%,38.4,9.3%,"18,280",0.7%,-,54,-,59.0
"Auburn, NY",4.6%,11.2%,12.1,20.2%,9.4%,14,-0.5%,-,56.2%,43.0%,"$1,137","$1,422",0.10%,77,11.5%,-41.1%,13.4%,81,16.0%,0.2%,"$251,150",22.6%,34,21.4%,-17.2%,"74,485","$67,489",-3.4%,15.0%,6.6%,"$207,645",7.5%,55.7%,27.6%,3.0,"$1,595","$63,825",28.3%,2.1%,40.2%,17.1%,-6.4%,25.6%,78.6%,50%,44.0,12.3%,"36,962",0.0%,-,60,-,39.0
"Augusta, GA",7.0%,14.2%,10.8,24.7%,3.8%,"4,560",5.4%,"3,798",53.6%,45.4%,"$1,410","$1,763",0.17%,"1,826",1.4%,7.2%,15.7%,79,3.2%,1.0%,"$307,838",-0.6%,692,-3.6%,-2.2%,"628,101","$68,495",4.0%,24.2%,10.1%,"$230,205",2.4%,49.4%,16.1%,3.3,"$1,463","$58,525",25.6%,0.5%,3.7%,7.5%,-7.0%,29.8%,70.5%,60%,38.5,13.8%,"274,904",0.7%,5.0%,47,65,53.0
"Augusta, ME",4.6%,13.1%,14.8,24.7%,12.9%,"1,219",1.7%,-,50.2%,47.4%,"$1,350","$1,688",0.27%,233,34.2%,-19.3%,20.5%,78,8.6%,0.5%,"$428,225",8.4%,78,-9.3%,-10.2%,"127,259","$65,364",4.2%,18.0%,13.7%,"$301,713",3.4%,79.1%,42.1%,4.6,"$2,007","$80,296",36.8%,0.9%,48.6%,14.8%,-9.4%,30.2%,72.6%,57%,44.1,11.5%,"64,039",0.9%,2.6%,54,57,46.0
"Austin, TX",3.2%,5.0%,17.7,19.9%,1.0%,"33,412",27.6%,"36,779",38.9%,59.2%,"$1,666","$2,083",-0.35%,"7,488",16.4%,44.1%,25.5%,82,6.5%,1.2%,"$494,667",-9.2%,"2,742",14.2%,-9.3%,"2,470,600","$100,478",14.0%,24.1%,24.9%,"$443,401",-3.3%,40.6%,11.2%,4.4,"$3,134","$125,360",37.4%,1.4%,88.0%,-19.1%,-4.7%,52.1%,58.1%,66%,36.3,8.9%,"1,089,223",1.3%,-3.0%,35,53,64.0
"Bakersfield, CA",5.4%,6.3%,13.1,30.9%,3.3%,"-7,510",3.0%,"2,757",59.2%,38.2%,"$1,810","$2,262",0.37%,"1,690",39.9%,15.6%,19.0%,59,0.8%,0.9%,"$389,950",1.9%,822,24.5%,-3.3%,"913,820","$70,270",1.9%,32.4%,6.1%,"$355,699",4.9%,54.4%,20.7%,5.0,"$2,337","$93,501",39.9%,0.8%,29.1%,7.6%,-54.9%,18.0%,59.7%,65%,32.7,17.7%,"309,632",-0.8%,3.3%,47,67,49.0
"Baltimore, MD",4.9%,6.4%,13.8,23.1%,0.7%,"-5,714",3.4%,"5,687",36.8%,60.2%,"$1,853","$2,316",0.34%,"4,256",23.9%,-18.1%,15.9%,53,0.0%,0.5%,"$349,900",6.8%,"2,312",4.1%,-6.2%,"2,832,759","$96,174",1.1%,15.6%,16.2%,"$385,778",3.3%,32.0%,2.1%,4.0,"$2,578","$103,124",32.1%,0.9%,39.0%,6.2%,-24.6%,44.3%,67.0%,69%,39.4,9.2%,"1,203,828",-0.2%,4.4%,54,44,50.0
"Bangor, ME",5.9%,12.5%,11.9,25.7%,10.4%,"1,237",-0.0%,315,54.4%,43.5%,"$1,451","$1,814",0.68%,319,17.7%,-23.4%,18.1%,85,-3.1%,0.6%,"$297,000",6.6%,114,29.5%,-12.0%,"155,312","$67,659",2.7%,34.1%,10.5%,"$259,231",5.3%,67.6%,17.4%,3.8,"$1,744","$69,773",30.9%,1.0%,20.1%,13.0%,-9.0%,30.5%,71.5%,50%,42.7,12.0%,"76,102",0.7%,7.5%,54,63,51.0
"Baraboo, WI",3.7%,10.7%,16.2,18.7%,9.8%,183,4.6%,-,50.0%,48.3%,"$1,278","$1,598",0.07%,138,0.0%,-16.8%,10.7%,81,-7.4%,0.6%,"$359,000",3.1%,42,16.6%,-12.4%,"65,920","$81,671",3.6%,36.2%,8.4%,"$312,663",3.9%,41.6%,9.4%,3.8,"$2,177","$87,080",31.9%,1.3%,70.2%,8.5%,-,27.4%,70.7%,62%,42.2,8.6%,"31,695",0.2%,-,55,-,65.0
"Bardstown, KY",4.7%,6.3%,14.9,18.6%,1.8%,358,6.2%,-,70.2%,28.5%,"$1,091","$1,364",0.70%,-,-,-,-,-,-,-,-,-,-,-,-,"47,102","$70,237",3.7%,16.8%,4.6%,"$245,556",4.9%,55.3%,23.8%,3.4,"$1,608","$64,354",27.4%,0.8%,47.3%,10.4%,-6.3%,22.5%,76.5%,61%,39.9,8.0%,"20,062",0.7%,-,-,-,57.0
"Barnstable Town, MA",3.9%,34.4%,17.9,35.4%,37.6%,"1,375",1.5%,508,38.6%,59.2%,"$2,705","$3,382",-0.09%,699,18.1%,-35.6%,12.7%,87,5.7%,0.5%,"$881,697",-5.1%,260,-0.7%,-15.0%,"231,735","$91,690",8.5%,7.8%,13.8%,"$727,265",3.4%,67.8%,23.7%,7.9,"$4,651","$186,070",60.8%,0.6%,71.9%,10.7%,-18.2%,49.8%,78.4%,58%,56.3,8.2%,"166,909",0.5%,4.2%,56,59,50.0
"Barre, VT",2.9%,17.4%,17.0,21.8%,16.9%,196,0.7%,-,26.3%,69.3%,"$1,482","$1,853",-0.15%,97,60.8%,-42.6%,9.6%,88,3.2%,0.4%,"$475,350",38.7%,42,31.2%,-15.7%,"59,958","$81,450",2.5%,29.7%,17.8%,"$379,401",0.7%,45.9%,14.1%,4.6,"$2,813","$112,552",41.4%,1.8%,89.8%,6.8%,1.2%,47.0%,73.0%,61%,43.7,8.7%,"30,860",0.3%,-,57,-,48.0
"Bartlesville, OK",8.7%,13.2%,8.5,25.3%,0.3%,597,0.1%,-,72.6%,24.9%,"$1,318","$1,647",0.97%,115,16.8%,-13.6%,26.8%,54,-13.7%,0.7%,"$219,500",-2.4%,50,4.1%,5.5%,"52,895","$62,429",1.7%,13.5%,6.6%,"$168,944",5.0%,46.8%,22.1%,2.7,"$1,121","$44,864",21.5%,0.9%,-14.9%,10.4%,-1.7%,30.4%,71.8%,52%,39.4,13.3%,"23,745",1.1%,6.8%,54,48,50.0
"Baton Rouge, LA",6.5%,13.6%,11.6,24.5%,2.5%,-813,5.2%,"3,452",56.5%,41.7%,"$1,348","$1,685",0.36%,"2,782",13.0%,4.4%,18.0%,95,5.0%,1.1%,"$295,656",0.2%,740,-4.6%,-5.4%,"874,626","$65,841",2.3%,8.3%,7.7%,"$235,680",1.8%,23.4%,2.2%,3.5,"$1,488","$59,548",27.1%,0.5%,10.3%,3.8%,-6.0%,29.0%,69.3%,58%,36.8,15.8%,"386,708",-0.0%,3.2%,45,50,50.0
"Battle Creek, MI",7.4%,8.5%,9.3,25.5%,2.4%,93,-1.9%,100,56.3%,42.3%,"$1,248","$1,560",0.68%,237,27.0%,-8.6%,21.9%,62,10.8%,0.5%,"$189,763",-1.1%,114,50.0%,-8.3%,"133,366","$58,664",-0.8%,19.5%,7.1%,"$174,693",5.8%,48.8%,33.8%,2.9,"$1,231","$49,257",25.1%,1.4%,-1.3%,8.2%,-29.5%,22.1%,72.3%,58%,40.3,11.3%,"59,675",0.0%,7.0%,50,39,44.0
"Bay City, MI",6.5%,8.7%,10.2,21.2%,3.9%,410,0.7%,51,56.7%,42.0%,"$1,060","$1,325",0.49%,160,19.0%,-19.4%,26.7%,54,-6.9%,0.4%,"$183,000",13.3%,94,20.5%,-4.7%,"102,500","$59,848",-1.3%,20.6%,7.4%,"$162,828",6.1%,48.9%,25.9%,2.7,"$1,159","$46,398",23.2%,1.5%,9.3%,15.9%,-24.4%,23.1%,77.6%,55%,44.4,11.7%,"48,700",0.4%,9.8%,56,37,44.0
"Bay City, TX",2.9%,21.4%,19.5,14.9%,14.5%,122,-2.2%,-,74.7%,24.2%,$699,$874,0.58%,224,5.9%,5.6%,11.2%,101,-18.7%,1.8%,"$315,000",6.0%,44,37.5%,1.1%,"36,274","$56,277",-1.2%,15.0%,4.4%,"$205,123",4.4%,23.4%,6.7%,3.6,"$1,416","$56,655",30.2%,1.2%,102.5%,-0.8%,-,22.7%,68.7%,34%,37.5,20.1%,"18,871",0.3%,-4.4%,48,31,41.0
"Beaumont, TX",7.6%,14.1%,9.1,22.3%,1.4%,378,1.5%,949,67.2%,31.9%,"$1,192","$1,490",0.43%,"1,586",12.0%,29.3%,17.8%,83,-2.6%,1.5%,"$225,000",-6.2%,338,-5.5%,-3.5%,"394,344","$64,153",-0.1%,9.0%,4.0%,"$162,853",1.8%,7.8%,-2.7%,2.5,"$1,150","$46,031",21.5%,1.4%,-3.4%,-4.5%,2.0%,18.4%,68.2%,45%,38.1,15.9%,"173,507",0.0%,6.1%,40,48,53.0
